Registro,Campo,Observaciones,Inicio,Longitud,Ejemplo JUMI,Clasificación,Origen sugerido en Odoo,Existe en Odoo ?,Nombre campo,Nombre tecnico,Modelo,¿Nuevo campo?,Definición / forma de completar
10,IDENT_REGISTRO,Fijo 0306,1,4,0306,Fijo técnico,Desarrollo/configuración,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con el valor fijo 0306.
10,TIPO_REG,Fijo 010,5,3,010,Fijo técnico,Desarrollo/configuración,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con 010.
10,TIPO_DOC_EMPRESA,Fijo CUIT,8,4,CUIT,Fijo técnico,Configuracion,Si,Tipo de documento,document_type_id,res.partner,No,OBLIGATORIO. Completar con CUIT.
10,CUIT_EMPRESA,"CUIT emisor, con ceros",12,13,0030537882871,Dato existente,Compañía,Si,CUIT,vat,res.partner,No,"OBLIGATORIO. Tomar el CUIT de la compañía emisora, sin guiones y completar con ceros a la izquierda hasta 13 posiciones."
10,SECUENCIA,Fila - 1,25,6,000000,Calculado,Desarrollo,No,,,,,CALCULADO. Número de fila menos 1; completar con ceros a la izquierda hasta 6 posiciones.
10,MONEDA,0 = pesos,31,1,0,Fijo técnico,Configuracion,Si,Moneda,currency_id,account.journal,,OBLIGATORIO TÉCNICO. Completar con 0 para pesos.
10,IMPORTE_TOTAL,Últimos 2 dígitos son decimales,32,13,0000164829678,Calculado,Calculado,Si,Importe,amount,account.payment.order,,"CALCULADO. Suma de todos los importes de registros 020; 13 posiciones, sin separador, con 2 decimales implícitos."
10,FORMA_PAGO,99 = distinta por orden,45,2,99,Fijo técnico,Configuracion,Si,Metodo de pago,payment_mode_line_ids,account.payment.order,No,"OBLIGATORIO TÉCNICO. Para informar la forma por cada orden, usar 99."
10,FORMA_COBRO,Fijo 0,47,1,0,Fijo técnico,Configuracion,Si,Metodo de pago,payment_mode_line_ids,account.payment.order,No,OBLIGATORIO TÉCNICO. Completar con 0.
10,DISPON_PAGO,9 = libre,48,1,9,Fijo técnico,Desarrollo/configuración,No,,,,,"OBLIGATORIO TÉCNICO. Si FORMA_PAGO=99, completar con 9."
10,DEPOSITO,Fijo 0,49,1,0,Fijo técnico,Desarrollo/configuración,No,,,,,OBLIGATORIO TÉCNICO. Completar con 0.
10,FECHA_EMISION,AAAAMMDD,50,8,20260623,Dato existente,Configuracion,Si,Fecha,date,account.payment.order,No,OBLIGATORIO. Fecha de generación/emisión del archivo en formato AAAAMMDD.
10,FECHA_ENTREGA,99999999 si se informa por orden,58,8,99999999,Dato existente,Configuracion,Si,Fecha efectiva,date_effective,,No,"OBLIGATORIO TÉCNICO. Para fechas distintas por orden, completar con 99999999 y usar el registro 020."
10,FECHA_PAGO,99999999 si se informa por orden,66,8,99999999,Dato existente,Configuracion,Si,Fecha de pago,date,account.payment.mode.line,No,"OBLIGATORIO TÉCNICO. Para fechas distintas por orden, completar con 99999999 y usar el registro 020."
10,ENTIDAD,0017 = BBVA,74,4,0017,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar con 0017 (BBVA).
